top_5_vacc,tracc,vacc,teacc,lambda,alpha,eta_min,eta_max,n_epochs,batch_size,n_s,N,layers,seed
0.5172,0.6216,0.5176,0.5112,0.0,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.5178,0.6011,0.5326,0.514,0.0041,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.5057,0.579,0.5216,0.5202,0.0082,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.5172,0.6216,0.5176,0.5112,0.0,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.5178,0.6011,0.5326,0.514,0.0041,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.5057,0.579,0.5216,0.5202,0.0082,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.5037,0.5701,0.523,0.5179,0.0123,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.4915,0.548,0.5116,0.5132,0.0163,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.4856,0.5459,0.5082,0.5109,0.0204,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.4868,0.5426,0.5108,0.5074,0.0245,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.4784,0.538,0.5124,0.5023,0.0286,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
